# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/ma/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-08-01 16:49:06 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01104455 STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01104455
#    DD parameter   Description
#    02   00060     Discharge, cubic feet per second
#    03   00010     Temperature, water, degrees Celsius
#    04   00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#    15   63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#    23   99404     Chloride, water, filtered, estimated by regression equation, milligrams per liter
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	02_00060	02_00060_cd	03_00010	03_00010_cd	04_00095	04_00095_cd	15_63680	15_63680_cd	23_99404	23_99404_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01104455	2014-07-25 00:00	EDT	0.25	P	21.6	P	1210	P	1.0	P	320	P
USGS	01104455	2014-07-25 00:15	EDT	0.25	P	21.6	P	1210	P	1.0	P	320	P
USGS	01104455	2014-07-25 00:26	EDT	0.25	P	21.5	P			1.0	P		
USGS	01104455	2014-07-25 00:27	EDT	0.25	P	21.5	P	1200	P	1.0	P	320	P
USGS	01104455	2014-07-25 00:30	EDT	0.25	P	21.5	P	1210	P	1.0	P	320	P
USGS	01104455	2014-07-25 00:45	EDT	0.25	P	21.5	P	1210	P	0.5	P	320	P
USGS	01104455	2014-07-25 01:00	EDT	0.25	P	21.5	P	1210	P	0.4	P	320	P
USGS	01104455	2014-07-25 01:15	EDT	0.22	P	21.4	P	1210	P	0.4	P	320	P
USGS	01104455	2014-07-25 01:30	EDT	0.25	P	21.4	P	1210	P	0.4	P	320	P
USGS	01104455	2014-07-25 01:45	EDT	0.25	P	21.4	P	1210	P	0.4	P	320	P
USGS	01104455	2014-07-25 02:00	EDT	0.25	P	21.4	P	1200	P	0.5	P	320	P
USGS	01104455	2014-07-25 02:15	EDT	0.25	P	21.4	P	1200	P	0.5	P	320	P
USGS	01104455	2014-07-25 02:30	EDT	0.25	P	21.4	P	1200	P	0.5	P	320	P
