DATETIME,RTC_TEMP_C,TEMP_C,BATTERY_LEVEL
2014-07-25 10:40:55,34.00,29.26,7.38
2014-07-25 10:46:00,40.00,31.01,7.39
2014-07-25 10:51:05,34.75,24.88,7.40
2014-07-25 10:56:09,25.75,21.30,7.40
2014-07-25 11:01:13,23.75,22.08,7.40
2014-07-25 11:06:16,23.00,21.22,7.40
2014-07-25 11:11:19,22.25,21.13,7.40
2014-07-25 11:16:22,22.00,21.13,7.40
2014-07-25 11:21:25,21.75,21.18,7.40
2014-07-25 11:26:28,21.50,21.13,7.40
2014-07-25 11:31:31,21.50,21.13,7.39
2014-07-25 11:36:34,21.25,21.13,7.39
2014-07-25 11:41:37,21.25,21.13,7.40
2014-07-25 11:46:40,21.25,21.22,7.39
2014-07-25 11:51:43,21.25,21.22,7.39
2014-07-25 11:56:46,21.25,21.22,7.39
2014-07-25 12:01:49,21.25,21.22,7.39
2014-07-25 12:06:52,21.25,21.30,7.39
2014-07-25 12:11:55,21.25,21.30,7.39
2014-07-25 12:16:58,21.25,21.30,7.39
2014-07-25 12:22:01,21.25,21.30,7.39
2014-07-25 12:27:04,21.25,21.30,7.39
2014-07-25 12:32:07,21.25,21.39,7.39
2014-07-25 12:37:10,21.50,21.39,7.39
2014-07-25 12:42:13,21.50,21.39,7.39
2014-07-25 12:47:16,21.50,21.39,7.39
2014-07-25 12:52:19,21.50,21.39,7.38
2014-07-25 12:57:22,21.50,21.39,7.39
2014-07-25 13:02:25,21.50,21.39,7.38
2014-07-25 13:07:28,21.50,21.39,7.38
2014-07-25 13:12:31,21.50,21.39,7.38
2014-07-25 13:17:34,21.50,21.39,7.38
2014-07-25 13:22:37,21.50,21.48,7.38
2014-07-25 13:27:40,21.50,21.48,7.38
2014-07-25 13:32:43,21.50,21.48,7.38
2014-07-25 13:37:46,21.50,21.48,7.38
2014-07-25 13:42:49,21.50,21.48,7.38
2014-07-25 13:47:52,21.50,21.48,7.38
2014-07-25 13:52:55,21.50,21.48,7.38
2014-07-25 13:57:58,21.50,21.48,7.38
2014-07-25 14:03:01,21.50,21.56,7.38
2014-07-25 14:08:04,21.50,21.56,7.37
2014-07-25 14:13:07,21.50,21.56,7.37
2014-07-25 14:18:10,21.50,21.56,7.37
