DATETIME_UNIX, DATETIME_REG,RTC_TEMP_C,TEMP_C,CONDUCT_FREQ_HERTZ,PHOTORESIST,BATTERY_LEVEL
1406565979,2014-07-28 16:46:19,30.75,31.15,  0.08,895,744
1406566281,2014-07-28 16:51:21,31.50,31.60,  0.32,871,744
1406566583,2014-07-28 16:56:23,31.75,31.58,  0.32,848,744
1406566884,2014-07-28 17:01:24,29.25,27.33,  0.32,817,743
1406567186,2014-07-28 17:06:26,27.00,23.62,991.36,33,744
1406567486,2014-07-28 17:11:26,24.50,23.08,1602.73,64,744
1406567787,2014-07-28 17:16:27,23.25,22.90,1591.65,42,744
1406568087,2014-07-28 17:21:27,22.50,22.87,1579.89,34,744
1406568387,2014-07-28 17:26:27,22.25,22.89,1578.70,67,744
1406568688,2014-07-28 17:31:28,22.00,22.85,1585.64,63,744
1406568988,2014-07-28 17:36:28,22.00,22.82,1587.20,78,743
1406569288,2014-07-28 17:41:28,22.00,22.82,1590.90,54,744
1406569588,2014-07-28 17:46:28,21.75,22.82,1586.02,42,744
1406569888,2014-07-28 17:51:28,21.75,22.82,1587.34,31,743
1406570189,2014-07-28 17:56:29,21.75,22.82,1590.53,24,744
1406570489,2014-07-28 18:01:29,21.75,22.87,1588.22,22,743
1406570789,2014-07-28 18:06:29,21.75,22.83,1589.25,16,743
1406571089,2014-07-28 18:11:29,21.75,22.87,1581.77,36,743
1406571389,2014-07-28 18:16:29,21.75,22.83,1591.06,57,743
1406571689,2014-07-28 18:21:29,21.50,22.82,1583.75,54,743
1406571989,2014-07-28 18:26:29,21.50,22.87,1582.89,24,743
1406572290,2014-07-28 18:31:30,21.50,22.87,1580.79,16,743
1406572590,2014-07-28 18:36:30,21.50,22.87,1582.78,13,743
1406572890,2014-07-28 18:41:30,21.50,22.82,1582.74,14,743
1406573190,2014-07-28 18:46:30,21.50,22.85,1581.85,24,743
1406573490,2014-07-28 18:51:30,21.50,22.85,1579.27,12,743
1406573790,2014-07-28 18:56:30,21.50,22.97,1582.37,12,743
1406574090,2014-07-28 19:01:30,21.50,22.92,1580.28,16,743
1406574390,2014-07-28 19:06:30,21.50,22.97,1579.24,19,743
1406574691,2014-07-28 19:11:31,21.50,22.97,1580.40,5,743
1406574991,2014-07-28 19:16:31,21.50,22.94,1576.75,4,743
1406575291,2014-07-28 19:21:31,21.50,22.75,1575.10,22,743
1406575591,2014-07-28 19:26:31,21.50,22.75,1572.27,26,742
1406575891,2014-07-28 19:31:31,21.50,22.77,1572.12,7,742
1406576191,2014-07-28 19:36:31,21.50,22.77,1569.06,6,742
1406576491,2014-07-28 19:41:31,21.50,22.78,1571.22,5,743
1406576791,2014-07-28 19:46:31,21.50,22.77,1570.19,7,742
1406577091,2014-07-28 19:51:31,21.50,22.80,1569.29,4,742
1406577392,2014-07-28 19:56:32,21.50,22.85,1565.16,0,742
1406577692,2014-07-28 20:01:32,21.50,22.85,1560.90,0,742
1406577992,2014-07-28 20:06:32,21.50,22.96,1560.48,0,742
1406578292,2014-07-28 20:11:32,21.50,22.90,1559.25,0,742
1406578592,2014-07-28 20:16:32,21.50,22.92,1556.11,0,742
1406578892,2014-07-28 20:21:32,21.50,22.92,1554.04,0,742
1406579192,2014-07-28 20:26:32,21.50,23.20,1554.86,0,742
1406579492,2014-07-28 20:31:32,21.50,22.83,1556.14,0,741
1406579792,2014-07-28 20:36:32,21.50,22.87,1555.78,0,741
1406580093,2014-07-28 20:41:33,21.50,23.01,1556.10,0,741
1406580393,2014-07-28 20:46:33,21.50,22.89,1557.69,0,741
1406580693,2014-07-28 20:51:33,21.50,22.83,1559.01,0,741
1406580993,2014-07-28 20:56:33,21.50,22.77,1557.51,0,741
1406581293,2014-07-28 21:01:33,21.50,22.82,1556.66,0,741
1406581593,2014-07-28 21:06:33,21.50,22.82,1548.47,0,741
1406581893,2014-07-28 21:11:33,21.50,22.82,1551.45,0,741
1406582193,2014-07-28 21:16:33,21.50,22.75,1548.71,0,741
1406582493,2014-07-28 21:21:33,21.50,22.75,1545.52,0,741
1406582794,2014-07-28 21:26:34,21.50,22.75,1546.19,0,741
1406583094,2014-07-28 21:31:34,21.50,22.80,1543.94,0,741
1406583394,2014-07-28 21:36:34,21.50,22.70,1544.57,0,740
1406583694,2014-07-28 21:41:34,21.50,22.66,1545.21,0,740
1406583994,2014-07-28 21:46:34,21.50,22.68,1541.81,0,740
1406584294,2014-07-28 21:51:34,21.50,22.68,1543.55,0,740
1406584594,2014-07-28 21:56:34,21.50,22.70,1543.29,0,740
1406584894,2014-07-28 22:01:34,21.50,22.73,1542.22,0,740
1406585194,2014-07-28 22:06:34,21.50,22.73,1541.11,0,740
1406585495,2014-07-28 22:11:35,21.50,22.71,1542.28,0,740
1406585795,2014-07-28 22:16:35,21.25,22.73,1541.52,0,740
1406586095,2014-07-28 22:21:35,21.25,22.71,1540.68,0,740
1406586395,2014-07-28 22:26:35,21.25,22.71,1540.08,0,740
1406586695,2014-07-28 22:31:35,21.25,22.71,1539.22,0,740
1406586995,2014-07-28 22:36:35,21.25,22.71,1540.70,0,740
1406587295,2014-07-28 22:41:35,21.25,22.71,1539.17,0,739
1406587595,2014-07-28 22:46:35,21.25,22.57,1541.62,0,739
1406587895,2014-07-28 22:51:35,21.25,22.59,1542.48,0,740
1406588195,2014-07-28 22:56:35,21.25,22.57,1542.87,0,739
1406588495,2014-07-28 23:01:35,21.25,22.57,1544.06,0,739
1406588795,2014-07-28 23:06:35,21.25,22.57,1545.67,0,739
1406589095,2014-07-28 23:11:35,21.25,22.49,1544.95,0,739
1406589395,2014-07-28 23:16:35,21.25,22.49,1542.14,0,739
1406589696,2014-07-28 23:21:36,21.25,22.50,1543.64,0,739
1406589996,2014-07-28 23:26:36,21.25,22.49,1545.00,0,739
1406590296,2014-07-28 23:31:36,21.25,22.45,1544.66,0,739
1406590596,2014-07-28 23:36:36,21.25,22.47,1545.52,0,739
1406590896,2014-07-28 23:41:36,21.25,22.45,1544.47,0,739
1406591196,2014-07-28 23:46:36,21.25,22.43,1543.85,0,739
1406591496,2014-07-28 23:51:36,21.00,22.43,1543.43,0,739
1406591796,2014-07-28 23:56:36,21.00,22.42,1542.93,0,739
1406592096,2014-07-29 00:01:36,21.00,22.42,1540.74,0,739
1406592396,2014-07-29 00:06:36,21.00,22.40,1542.63,0,739
1406592696,2014-07-29 00:11:36,21.00,22.40,1541.61,0,738
1406592996,2014-07-29 00:16:36,21.00,22.45,1541.53,0,738
1406593296,2014-07-29 00:21:36,21.00,22.42,1540.05,0,738
1406593596,2014-07-29 00:26:36,21.00,22.42,1539.69,0,738
1406593896,2014-07-29 00:31:36,21.00,22.38,1539.74,0,738
1406594196,2014-07-29 00:36:36,21.00,22.38,1541.52,0,738
1406594496,2014-07-29 00:41:36,21.00,22.38,1541.14,0,738
1406594796,2014-07-29 00:46:36,21.00,22.36,1539.85,0,738
1406595096,2014-07-29 00:51:36,21.00,22.29,1541.33,0,738
1406595396,2014-07-29 00:56:36,21.00,22.29,1540.95,0,738
1406595696,2014-07-29 01:01:36,21.00,22.21,1539.73,0,738
1406595996,2014-07-29 01:06:36,21.00,22.21,1540.26,0,738
1406596296,2014-07-29 01:11:36,20.75,22.14,1539.45,0,738
1406596596,2014-07-29 01:16:36,20.75,22.14,1537.01,0,738
