DATETIME,RTC_TEMP_C,TEMP_C,PHOTO,BATTERY_LEVEL
2014-08-12 17:08:14,25.00,25.30,630,708
2014-08-12 17:08:20,25.00,25.30,622,708
2014-08-12 17:08:25,24.75,20.95,602,708
2014-08-12 17:08:30,24.75,19.57,640,708
2014-08-12 17:08:36,24.75,18.71,685,708
2014-08-12 17:08:41,24.75,18.19,688,708
2014-08-12 17:08:46,24.75,17.59,687,708
2014-08-12 17:08:52,24.75,17.07,622,708
2014-08-12 17:08:57,24.75,16.64,626,708
2014-08-12 17:09:02,24.75,16.14,659,708
2014-08-12 17:09:08,24.75,14.84,661,708
2014-08-12 17:09:13,24.75,13.87,696,708
2014-08-12 17:09:18,24.75,12.91,695,708
2014-08-12 17:09:24,24.75,12.05,703,708
2014-08-12 17:09:29,25.00,11.42,741,708
2014-08-12 17:09:34,25.00,10.90,662,708
2014-08-12 17:09:40,25.00,10.55,652,708
2014-08-12 17:09:45,25.00,10.28,624,708
2014-08-12 17:09:50,25.00,10.01,657,708
2014-08-12 17:09:56,25.00,10.01,656,708
2014-08-12 17:10:01,25.00,10.10,654,708
2014-08-12 17:10:06,25.00,10.03,654,708
2014-08-12 17:10:12,25.00,9.99,653,708
2014-08-12 17:10:17,25.00,9.92,653,708
2014-08-12 17:10:22,25.00,9.87,652,708
2014-08-12 17:10:28,25.00,9.90,594,708
2014-08-12 17:10:33,25.00,9.92,597,708
2014-08-12 17:10:38,25.00,9.83,596,708
2014-08-12 17:10:44,25.00,9.83,599,708
2014-08-12 17:10:49,25.00,9.83,602,708
2014-08-12 17:10:54,25.00,9.74,639,708
2014-08-12 17:11:00,25.00,9.63,671,708
2014-08-12 17:11:05,25.00,9.47,689,708
2014-08-12 17:11:10,25.00,9.29,704,708
2014-08-12 17:11:16,25.00,9.20,713,708
2014-08-12 17:11:21,25.00,9.11,708,708
2014-08-12 17:11:26,25.00,9.02,712,708
2014-08-12 17:11:32,25.00,9.02,742,708
2014-08-12 17:11:37,25.00,8.93,742,708
2014-08-12 17:11:42,25.00,8.84,746,708
2014-08-12 17:11:47,25.00,8.66,747,708
2014-08-12 17:11:53,25.00,8.57,746,708
2014-08-12 17:11:58,25.00,8.55,735,708
2014-08-12 17:12:03,25.00,8.48,756,708
2014-08-12 17:12:09,25.00,8.48,756,708
2014-08-12 17:12:14,25.00,8.48,744,708
2014-08-12 17:12:19,25.00,8.39,743,708
2014-08-12 17:12:25,25.00,8.29,741,708
2014-08-12 17:12:30,25.00,8.29,712,708
2014-08-12 17:12:35,25.00,8.19,711,708
2014-08-12 17:12:41,25.00,8.11,661,708
2014-08-12 17:12:46,25.00,8.02,630,708
2014-08-12 17:12:51,25.00,8.02,662,708
2014-08-12 17:12:57,25.00,16.21,646,708
2014-08-12 17:13:02,25.00,18.45,646,708
2014-08-12 17:13:07,25.00,19.33,654,708
2014-08-12 17:13:13,25.00,20.00,682,708
2014-08-12 17:13:18,25.00,21.03,685,708
2014-08-12 17:13:23,25.00,21.64,655,708
2014-08-12 17:13:29,25.00,21.90,613,708
2014-08-12 17:13:34,25.00,22.14,621,708
2014-08-12 17:13:39,25.00,22.33,621,708
2014-08-12 17:13:45,25.00,22.52,622,708
2014-08-12 17:13:50,25.00,22.77,622,708
2014-08-12 17:13:55,25.00,22.96,623,708
2014-08-12 17:14:01,25.00,23.29,680,708
2014-08-12 17:14:06,25.00,23.38,684,708
2014-08-12 17:14:11,25.00,23.46,694,708
2014-08-12 17:14:17,25.00,23.55,678,708
2014-08-12 17:14:22,25.00,23.64,686,708
2014-08-12 17:14:27,25.00,23.81,685,708
2014-08-12 17:14:33,25.00,23.81,665,708
2014-08-12 17:14:38,25.00,23.90,662,708
2014-08-12 17:14:43,25.00,23.99,664,708
2014-08-12 17:14:49,25.00,24.07,662,708
2014-08-12 17:14:54,25.00,21.03,626,708
2014-08-12 17:14:59,25.00,13.61,622,708
2014-08-12 17:15:05,25.00,12.05,579,708
2014-08-12 17:15:10,25.00,11.33,604,708
2014-08-12 17:15:15,25.00,10.81,601,708
2014-08-12 17:15:21,25.00,10.28,594,708
2014-08-12 17:15:26,25.00,9.92,594,708
2014-08-12 17:15:31,25.00,9.56,587,708
2014-08-12 17:15:37,25.00,9.20,587,708
2014-08-12 17:15:42,25.00,9.02,593,708
2014-08-12 17:15:47,25.00,8.48,603,708
2014-08-12 17:15:53,25.00,8.28,622,708
2014-08-12 17:15:58,25.00,8.02,606,708
2014-08-12 17:16:03,25.00,7.75,611,708
2014-08-12 17:16:09,25.00,7.56,618,708
2014-08-12 17:16:14,25.00,7.47,621,708
2014-08-12 17:16:19,25.00,7.32,620,708
2014-08-12 17:16:25,25.00,7.19,617,708
2014-08-12 17:16:30,25.00,7.01,603,708
2014-08-12 17:16:35,25.00,6.92,607,708
2014-08-12 17:16:41,25.00,6.73,613,708
2014-08-12 17:16:46,25.00,6.64,606,708
2014-08-12 17:16:51,25.00,6.45,606,708
2014-08-12 17:16:57,25.00,6.36,595,708
2014-08-12 17:17:02,25.00,6.26,589,708
2014-08-12 17:17:07,25.00,6.17,613,708
2014-08-12 17:17:13,25.00,6.08,614,708
2014-08-12 17:17:18,25.00,5.96,614,708
2014-08-12 17:17:23,25.00,5.89,623,708
2014-08-12 17:17:29,25.00,5.79,596,708
2014-08-12 17:17:34,25.00,5.79,602,708
2014-08-12 17:17:39,25.00,5.70,608,708
2014-08-12 17:17:45,25.00,5.68,652,708
2014-08-12 17:17:50,25.00,5.61,650,708
2014-08-12 17:17:55,25.00,8.69,612,708
2014-08-12 17:18:01,25.00,16.05,611,708
2014-08-12 17:18:06,25.00,17.24,614,708
2014-08-12 17:18:11,25.00,18.36,664,708
2014-08-12 17:18:17,25.00,19.14,661,708
2014-08-12 17:18:22,25.00,19.83,612,708
2014-08-12 17:18:27,25.00,20.59,612,708
2014-08-12 17:18:33,25.00,21.12,614,708
2014-08-12 17:18:38,25.00,21.55,626,708
2014-08-12 17:18:43,25.00,21.90,650,708
2014-08-12 17:18:49,25.00,22.16,676,708
2014-08-12 17:18:54,25.00,22.33,677,708
2014-08-12 17:18:59,25.00,22.33,682,707
2014-08-12 17:19:05,25.00,20.33,669,708
2014-08-12 17:19:10,25.00,20.17,667,708
